[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/list]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.list(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/save],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.save(com.shupro.oa.admin.model.SysUser)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/delete/{ids}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.delete(java.lang.String)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/update],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.update(com.shupro.oa.admin.model.SysUser)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/upload]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.upload(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/upload2]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.upload2(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.ModelMap)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initLinkButton]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initLinkButton(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initSwitchButton]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initSwitchButton(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initForm-valide]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initFormValide(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initComboBox-js]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initComboBox2(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initComboBox-cascade]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initComboBox3(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initCombogrid]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initCombogrid(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initCombotree]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initCombotree(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initPanel-js]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initPanel2(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/leftDemo]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.leftDemo(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initMessager]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initMessager(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initDialog]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initDialog(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initWindow]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initWindow(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initWindow-style]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initWindow2(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initPanel]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initPanel(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initDialog-js]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initDialog2(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initForm]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initForm(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initForm-file]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initFormFile(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initComboBox]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initComboBox(org.springframework.ui.Model)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/initGrid]}" onto public java.lang.String com.shupro.oa.common.controller.DemoController.initGrid(org.springframework.ui.Model)
